RefSeq,Organism,Lineage,DoriC_oriC_0,DoriC_oriC_1,DoriC_oriC_2,DoriC_oriC_3
NC_003912,Campylobacter jejuni RM1221,"Bacteria, Proteobacteria, Epsilonproteobacteria, Campylobacterales, Campylobacteraceae, Campylobacter","(1324.0, 1482.0)",,,
NC_004129,Pseudomonas fluorescens Pf-5,"Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas","(7074428.0, 100.0)",,,
NC_004307,Bifidobacterium longum NCC2705,"Bacteria, Actinobacteria, Actinobacteridae, Bifidobacteriales, Bifidobacteriaceae, Bifidobacterium","(1625766.0, 1626083.0)",,,
NC_004342,Leptospira interrogans serovar Lai str. 56601 chromosome 1,"Bacteria, Spirochaetes, Spirochaetales, Leptospiraceae, Leptospira","(1566.0, 3220.0)",,,
NC_004347,Shewanella oneidensis MR-1,"Bacteria, Proteobacteria, Gammaproteobacteria, Alteromonadales, Shewanellaceae, Shewanella","(6419.0, 6872.0)",,,
NC_004369,Corynebacterium efficiens YS-314,"Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Corynebacterineae, Corynebacteriaceae, Corynebacterium","(1723.0, 2288.0)",,,
NC_004551,Tropheryma whipplei TW08/27,"Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Micrococcineae, Cellulomonadaceae, Tropheryma","(1438.0, 1766.0)",,,
NC_004556,Xylella fastidiosa Temecula1,"Bacteria, Proteobacteria, Gammaproteobacteria, Xanthomonadales, Xanthomonadaceae, Xylella","(1466.0, 1746.0)",,,
NC_004572,Tropheryma whipplei str. Twist,"Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Micrococcineae, Cellulomonadaceae, Tropheryma","(1438.0, 1766.0)",,,
NC_004578,Pseudomonas syringae pv. tomato str. DC3000,"Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas","(6396882.0, 338.0)",,,
NC_004757,Nitrosomonas europaea ATCC 19718,"Bacteria, Proteobacteria, Betaproteobacteria, Nitrosomonadales, Nitrosomonadaceae, Nitrosomonas","(1591.0, 1790.0)",,,
NC_005090,Wolinella succinogenes DSM 1740,"Bacteria, Proteobacteria, Epsilonproteobacteria, Campylobacterales, Helicobacteraceae, Wolinella","(2110228.0, 2110355.0)",,,
NC_005362,Lactobacillus johnsonii NCC 533,"Bacteria, Firmicutes, Lactobacillales, Lactobacillaceae, Lactobacillus","(1992003.0, 1992676.0)",,,
NC_005364,Mycoplasma mycoides subsp. mycoides SC str. PG1,"Bacteria, Firmicutes, Mollicutes, Mycoplasmataceae, Mycoplasma","(1211535.0, 87.0)",,,
NC_005773,Pseudomonas syringae pv. phaseolicola 1448A,"Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas","(5928612.0, 237.0)",,,
NC_005823,Leptospira interrogans serovar Copenhageni str. Fiocruz L1-130 chromosome 1,"Bacteria, Spirochaetes, Spirochaetales, Leptospiraceae, Leptospira","(1624.0, 3278.0)",,,
NC_005835,Thermus thermophilus HB27,"Bacteria, Deinococcus-Thermus, Deinococci, Thermales, Thermaceae, Thermus","(1524341.0, 1524641.0)",,,
NC_005966,Acinetobacter sp. ADP1,"Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter","(3598158.0, 200.0)",,,
NC_006055,Mesoplasma florum L1,"Bacteria, Firmicutes, Mollicutes, Entomoplasmatales, Entomoplasmataceae, Mesoplasma","(792925.0, 793224.0)",,,
NC_006368,Legionella pneumophila str. Paris,"Bacteria, Proteobacteria, Gammaproteobacteria, Legionellales, Legionellaceae, Legionella","(3503063.0, 203.0)",,,
NC_006369,Legionella pneumophila str. Lens,"Bacteria, Proteobacteria, Gammaproteobacteria, Legionellales, Legionellaceae, Legionella","(3345130.0, 203.0)",,,
NC_006461,Thermus thermophilus HB8,"Bacteria, Deinococcus-Thermus, Deinococci, Thermales, Thermaceae, Thermus","(1849496.0, 54.0)",,,
NC_006512,Idiomarina loihiensis L2TR,"Bacteria, Proteobacteria, Gammaproteobacteria, Alteromonadales, Idiomarinaceae, Idiomarina","(2839275.0, 361.0)",,,
NC_006570,Francisella tularensis subsp. tularensis Schu 4,"Bacteria, Proteobacteria, Gammaproteobacteria, Thiotrichales, Francisellaceae, Francisella","(1892387.0, 1892819.0)",,,
NC_006814,Lactobacillus acidophilus NCFM,"Bacteria, Firmicutes, Lactobacillales, Lactobacillaceae, Lactobacillus","(1993119.0, 30.0)",,,
NC_006958,Corynebacterium glutamicum ATCC 13032,"Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Corynebacterineae, Corynebacteriaceae, Corynebacterium","(1576.0, 2291.0)",,,
NC_007005,Pseudomonas syringae pv. syringae B728a,"Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas","(6093115.0, 6093698.0)",,,
NC_007204,Psychrobacter arcticus 273-4,"Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Psychrobacter","(2650553.0, 519.0)",,,
NC_007298,Dechloromonas aromatica RCB,"Bacteria, Proteobacteria, Betaproteobacteria, Rhodocyclales, Rhodocyclaceae, Dechloromonas","(1549.0, 1757.0)",,,
NC_007347,Ralstonia eutropha JMP134 chromosome 1,"Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Burkholderiaceae, Cupriavidus","(3805996.0, 183.0)",,,
NC_007356,Dehalococcoides sp. CBDB1,"Bacteria, Chloroflexi, Dehalococcoidetes, Dehalococcoides","(1596.0, 1925.0)",,,
NC_007413,Anabaena variabilis ATCC 29413,"Bacteria, Cyanobacteria, Nostocales, Nostocaceae, Anabaena","(1502.0, 1918.0)",,,
NC_007484,Nitrosococcus oceani ATCC 19707,"Bacteria, Proteobacteria, Gammaproteobacteria, Chromatiales, Chromatiaceae, Nitrosococcus","(1525.0, 2395.0)",,,
NC_007492,Pseudomonas fluorescens PfO-1,"Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas","(6438251.0, 564.0)",,,
NC_007512,Pelodictyon luteolum DSM 273,"Bacteria, Chlorobi, Chlorobia, Chlorobiales, Chlorobiaceae, Chlorobium/Pelodictyon group, Pelodictyon","(2362910.0, 2363372.0)",,,
NC_007520,Thiomicrospira crunogena XCL-2,"Bacteria, Proteobacteria, Gammaproteobacteria, Thiotrichales, Piscirickettsiaceae, Thiomicrospira","(2427456.0, 68.0)",,,
NC_007633,Mycoplasma capricolum subsp. capricolum ATCC 27343,"Bacteria, Firmicutes, Mollicutes, Mycoplasmataceae, Mycoplasma","(1009729.0, 1010023.0)",,,
NC_007645,Hahella chejuensis KCTC 2396,"Bacteria, Proteobacteria, Gammaproteobacteria, Oceanospirillales, Hahellaceae, Hahella","(7214961.0, 377.0)",,,
NC_007777,Frankia sp. CcI3,"Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Frankineae, Frankiaceae, Frankia","(1724.0, 2487.0)",,,
NC_007880,Francisella tularensis subsp. holarctica,"Bacteria, Proteobacteria, Gammaproteobacteria, Thiotrichales, Francisellaceae, Francisella","(1895784.0, 274.0)",,,
NC_007954,Shewanella denitrificans OS217,"Bacteria, Proteobacteria, Gammaproteobacteria, Alteromonadales, Shewanellaceae, Shewanella","(4545452.0, 9.0)",,,
NC_007963,Chromohalobacter salexigens DSM 3043,"Bacteria, Proteobacteria, Gammaproteobacteria, Oceanospirillales, Halomonadaceae, Chromohalobacter","(3696504.0, 92.0)",,,
AC_000091,Escherichia coli W3110 DNA,"Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, Escherichia","(3710670.0, 3711047.0)",,,
NC_000913,Escherichia coli K12,"Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, Escherichia","(3923657.0, 3924034.0)",,,
NC_002505,Vibrio cholerae O1 biovar eltor str. N16961 chromosome 1,"Bacteria, Proteobacteria, Gammaproteobacteria, Vibrionales, Vibrionaceae, Vibrio","(2961047.0, 234.0)",,,
NC_002655,Escherichia coli O157:H7 EDL933,"Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, Escherichia","(4788059.0, 4788436.0)",,,
NC_002695,Escherichia coli O157:H7,"Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, Escherichia","(4719078.0, 4719455.0)",,,
NC_002927,Bordetella bronchiseptica RB50,"Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Bordetella","(5337389.0, 5339179.0)",,,
NC_002928,Bordetella parapertussis 12822,"Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Bordetella","(4771761.0, 4773551.0)",,,
NC_003143,Yersinia pestis CO92,"Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, Yersinia","(4653618.0, 270.0)",,,
NC_003197,Salmonella typhimurium LT2,"Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, Salmonella","(4083788.0, 4084165.0)",,,
NC_003198,Salmonella enterica subsp. enterica serovar Typhi str. CT18,"Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, Salmonella","(3765058.0, 3765435.0)",,,
NC_003910,Colwellia psychrerythraea 34H,"Bacteria, Proteobacteria, Gammaproteobacteria, Alteromonadales, Colwelliaceae, Colwellia","(5367414.0, 5367871.0)",,,
NC_004431,Escherichia coli CFT073,"Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, Escherichia","(4426667.0, 4427044.0)",,,
NC_004459,Vibrio vulnificus CMCP6 chromosome 1,"Bacteria, Proteobacteria, Gammaproteobacteria, Vibrionales, Vibrionaceae, Vibrio","(1012335.0, 1012802.0)",,,
NC_004603,Vibrio parahaemolyticus RIMD 2210633 chromosome 1,"Bacteria, Proteobacteria, Gammaproteobacteria, Vibrionales, Vibrionaceae, Vibrio","(3288455.0, 370.0)",,,
NC_004631,Salmonella enterica subsp. enterica serovar Typhi Ty2,"Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, Salmonella","(3750549.0, 3750926.0)",,,
NC_005126,Photorhabdus luminescens subsp. laumondii TTO1,"Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, Photorhabdus","(44490.0, 44869.0)",,,
NC_005139,Vibrio vulnificus YJ016 chromosome 1,"Bacteria, Proteobacteria, Gammaproteobacteria, Vibrionales, Vibrionaceae, Vibrio","(3354390.0, 352.0)",,,
NC_005810,Yersinia pestis biovar Medievalis str. 91001,"Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, Yersinia","(4594787.0, 20.0)",,,
NC_006155,Yersinia pseudotuberculosis IP 32953,"Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, Yersinia","(4744561.0, 269.0)",,,
NC_006370,Photobacterium profundum SS9 chromosome 1,"Bacteria, Proteobacteria, Gammaproteobacteria, Vibrionales, Vibrionaceae, Photobacterium","(4085022.0, 138.0)",,,
NC_006511,Salmonella enterica subsp. enterica serovar Paratyphi A str. ATCC 9150,"Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, Salmonella","(3858807.0, 3859184.0)",,,
NC_006840,Vibrio fischeri ES114 chromosome 1,"Bacteria, Proteobacteria, Gammaproteobacteria, Vibrionales, Vibrionaceae, Vibrio","(2906069.0, 312.0)",,,
NC_006905,Salmonella enterica subsp. enterica serovar Choleraesuis str. SC-B67,"Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, Salmonella","(4018843.0, 4019220.0)",,,
NC_007481,Pseudoalteromonas haloplanktis TAC125 chromosome 1,"Bacteria, Proteobacteria, Gammaproteobacteria, Alteromonadales, Pseudoalteromonadaceae, Pseudoalteromonas","(3208603.0, 3209028.0)",,,
NC_007677,Salinibacter ruber DSM 13855,"Bacteria, Bacteroidetes, Sphingobacteria, Sphingobacteriales, Crenotrichaceae, Salinibacter","(12594.0, 13258.0)",,,
NC_007908,Rhodoferax ferrireducens DSM 15236,"Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Comamonadaceae, Rhodoferax","(40520.0, 41352.0)",,,
NC_007912,Saccharophagus degradans 2-40,"Bacteria, Proteobacteria, Gammaproteobacteria, Alteromonadales, Alteromonadaceae, Saccharophagus","(5052499.0, 5053336.0)",,,
NC_007946,Escherichia coli UTI89,"Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, Escherichia","(4186502.0, 4186879.0)",,,
NC_000117,Chlamydia trachomatis D/UW-3/CX,"Bacteria, Chlamydiae, Chlamydiales, Chlamydiaceae, Chlamydia","(719974.0, 720270.0)",,,
NC_000853,Thermotoga maritima MSB8,"Bacteria, Thermotogae, Thermotogales, Thermotogaceae, Thermotoga","(156961.0, 157517.0)",,,
NC_000907,Haemophilus influenzae Rd KW20,"Bacteria, Proteobacteria, Gammaproteobacteria, Pasteurellales, Pasteurellaceae, Haemophilus","(603005.0, 603689.0)",,,
NC_000922,Chlamydophila pneumoniae CWL029,"Bacteria, Chlamydiae, Chlamydiales, Chlamydiaceae, Chlamydophila","(841385.0, 841738.0)",,,
NC_000963,Rickettsia prowazekii str. Madrid E,"Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Rickettsiaceae, Rickettsieae, Rickettsia, typhus group","(1111140.0, 1111523.0)",,,
NC_001264,Deinococcus radiodurans R1 chromosome 2,"Bacteria, Deinococcus-Thermus, Deinococci, Deinococcales, Deinococcaceae, Deinococcus","(412228.0, 652.0)",,,
NC_002179,Chlamydophila pneumoniae AR39,"Bacteria, Chlamydiae, Chlamydiales, Chlamydiaceae, Chlamydophila","(1229834.0, 200.0)",,,
NC_002491,Chlamydophila pneumoniae J138,"Bacteria, Chlamydiae, Chlamydiales, Chlamydiaceae, Chlamydophila","(840706.0, 841059.0)",,,
NC_002506,Vibrio cholerae O1 biovar eltor str. N16961 chromosome 1I,"Bacteria, Proteobacteria, Gammaproteobacteria, Vibrionales, Vibrionaceae, Vibrio","(247.0, 1133.0)",,,
NC_002620,Chlamydia muridarum Nigg,"Bacteria, Chlamydiae, Chlamydiales, Chlamydiaceae, Chlamydia","(1072919.0, 265.0)",,,
NC_002663,Pasteurella multocida subsp. multocida str. Pm70,"Bacteria, Proteobacteria, Gammaproteobacteria, Pasteurellales, Pasteurellaceae, Pasteurella","(1677118.0, 1677604.0)",,,
NC_002929,Bordetella pertussis Tohama I,"Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Bordetella","(4084466.0, 4086189.0)",,,
NC_002940,Haemophilus ducreyi 35000HP,"Bacteria, Proteobacteria, Gammaproteobacteria, Pasteurellales, Pasteurellaceae, Haemophilus","(1698708.0, 295.0)",,,
NC_002946,Neisseria gonorrhoeae FA 1090,"Bacteria, Proteobacteria, Betaproteobacteria, Neisseriales, Neisseriaceae, Neisseria","(1917745.0, 1917895.0)",,,
NC_002977,Methylococcus capsulatus str. Bath,"Bacteria, Proteobacteria, Gammaproteobacteria, Methylococcales, Methylococcaceae, Methylococcus","(3302726.0, 43.0)",,,
NC_002978,Wolbachia endosymbiont of Drosophila melanogaster,"Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Rickettsiaceae, Wolbachieae, Wolbachia","(988364.0, 988765.0)",,,
NC_003047,Sinorhizobium meliloti 1021,"Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Rhizobiaceae, Sinorhizobium","(1.0, 477.0)",,,
NC_003062,Agrobacterium tumefaciens str. C58 chromosome circular,"Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Rhizobiaceae, Agrobacterium","(2841174.0, 2841581.0)",,,
NC_003063,Agrobacterium tumefaciens str. C58 chromosome linear,"Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Rhizobiaceae, Agrobacterium","(1051877.0, 1052270.0)",,,
NC_003103,Rickettsia conorii str. Malish 7,"Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Rickettsiaceae, Rickettsieae, Rickettsia, spotted fever group","(1268361.0, 1268755.0)",,,
NC_003112,Neisseria meningitidis MC58,"Bacteria, Proteobacteria, Betaproteobacteria, Neisseriales, Neisseriaceae, Neisseria","(2258307.0, 2258779.0)",,,
NC_003116,Neisseria meningitidis Z2491,"Bacteria, Proteobacteria, Betaproteobacteria, Neisseriales, Neisseriaceae, Neisseria","(219873.0, 221785.0)",,,
NC_003304,Agrobacterium tumefaciens str. C58 chromosome circular,"Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Rhizobiaceae, Agrobacterium","(2841285.0, 202.0)",,,
NC_003305,Agrobacterium tumefaciens str. C58 chromosome linear,"Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Rhizobiaceae, Agrobacterium","(1022735.0, 1022879.0)",,,
NC_003317,Brucella melitensis 16M chromosome 1,"Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Brucellaceae, Brucella","(2116944.0, 191.0)",,,
NC_003361,Chlamydophila caviae GPIC,"Bacteria, Chlamydiae, Chlamydiales, Chlamydiaceae, Chlamydophila","(1173153.0, 56.0)",,,
NC_004088,Yersinia pestis KIM,"Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, Yersinia","(4600477.0, 20.0)",,,
NC_004113,Thermosynechococcus elongatus BP-1,"Bacteria, Cyanobacteria, Chroococcales, Thermosynechococcus","(2338968.0, 2339821.0)",,,
NC_004310,Brucella suis 1330 chromosome 1,"Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Brucellaceae, Brucella","(1993857.0, 1994308.0)",,,
NC_004337,Shigella flexneri 2a str. 301,"Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, Shigella","(3932902.0, 3933279.0)",,,
NC_004460,Vibrio vulnificus CMCP6 chromosome 1I,"Bacteria, Proteobacteria, Gammaproteobacteria, Vibrionales, Vibrionaceae, Vibrio","(1271540.0, 1272948.0)",,,
NC_004463,Bradyrhizobium japonicum USDA 110,"Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bradyrhizobium","(680553.0, 681016.0)",,,
NC_004547,Erwinia carotovora subsp. atroseptica SCRI1043,"Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, Pectobacterium","(5063660.0, 31.0)",,,
NC_004552,Chlamydophila abortus S26/3,"Bacteria, Chlamydiae, Chlamydiales, Chlamydiaceae, Chlamydophila","(1144232.0, 147.0)",,,
NC_004605,Vibrio parahaemolyticus RIMD 2210633 chromosome 1I,"Bacteria, Proteobacteria, Gammaproteobacteria, Vibrionales, Vibrionaceae, Vibrio","(1877111.0, 1149.0)",,,
NC_004741,Shigella flexneri 2a str. 2457T,"Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, Shigella","(3840015.0, 3840392.0)",,,
NC_004842,Anaplasma marginale str. St. Maries,"Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Anaplasmataceae, Anaplasma","(1147944.0, 1148563.0)",,,
NC_005042,Prochlorococcus marinus subsp. marinus str. CCMP1375,"Bacteria, Cyanobacteria, Prochlorales, Prochlorococcaceae, Prochlorococcus","(1750905.0, 173.0)",,,
NC_005043,Chlamydophila pneumoniae TW-183,"Bacteria, Chlamydiae, Chlamydiales, Chlamydiaceae, Chlamydophila","(838691.0, 839044.0)",,,
NC_005070,Synechococcus sp. WH 8102,"Bacteria, Cyanobacteria, Chroococcales, Synechococcus","(2434168.0, 173.0)",,,
NC_005071,Prochlorococcus marinus str. MIT 9313,"Bacteria, Cyanobacteria, Prochlorales, Prochlorococcaceae, Prochlorococcus","(2410638.0, 173.0)",,,
NC_005072,Prochlorococcus marinus subsp. pastoris str. CCMP1986,"Bacteria, Cyanobacteria, Prochlorales, Prochlorococcaceae, Prochlorococcus","(1657818.0, 173.0)",,,
NC_005085,Chromobacterium violaceum ATCC 12472,"Bacteria, Proteobacteria, Betaproteobacteria, Neisseriales, Neisseriaceae, Chromobacterium","(236386.0, 236736.0)",,,
NC_005125,Gloeobacter violaceus PCC 7421,"Bacteria, Cyanobacteria, Gloeobacteria, Gloeobacterales, Gloeobacter","(3438638.0, 3439066.0)",,,
NC_005140,Vibrio vulnificus YJ016 chromosome 1I,"Bacteria, Proteobacteria, Gammaproteobacteria, Vibrionales, Vibrionaceae, Vibrio","(1855947.0, 191.0)",,,
NC_005295,Ehrlichia ruminantium str. Welgevonden,"Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Anaplasmataceae, Ehrlichia","(23003.0, 23424.0)",,,
NC_005296,Rhodopseudomonas palustris CGA009,"Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Rhodopseudomonas","(322962.0, 323132.0)",,,
NC_005955,Bartonella quintana str. Toulouse,"Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bartonellaceae, Bartonella","(1580795.0, 1581384.0)",,,
NC_005956,Bartonella henselae str. Houston-1,"Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bartonellaceae, Bartonella","(1930403.0, 1931047.0)",,,
NC_006138,Desulfotalea psychrophila LSv54,"Bacteria, Proteobacteria, Deltaproteobacteria, Desulfobacterales, Desulfobulbaceae, Desulfotalea","(709557.0, 709918.0)",,,
NC_006142,Rickettsia typhi str. Wilmington,"Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Rickettsiaceae, Rickettsieae, Rickettsia, typhus group","(1111114.0, 1111496.0)",,,
NC_006300,Mannheimia succiniciproducens MBEL55E,"Bacteria, Proteobacteria, Gammaproteobacteria, Pasteurellales, Pasteurellaceae, Mannheimia","(2281135.0, 2281598.0)",,,
NC_006348,Burkholderia mallei ATCC 23344 chromosome 1,"Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Burkholderiaceae, Burkholderia","(3006500.0, 3006897.0)",,,
NC_006349,Burkholderia mallei ATCC 23344 chromosome 2,"Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Burkholderiaceae, Burkholderia","(2318246.0, 2318673.0)",,,
NC_006350,Burkholderia pseudomallei K96243 chromosome 1,"Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Burkholderiaceae, Burkholderia, pseudomallei group","(2376.0, 3113.0)",,,
NC_006351,Burkholderia pseudomallei K96243 chromosome 2,"Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Burkholderiaceae, Burkholderia, pseudomallei group","(3166171.0, 3166743.0)",,,
NC_006513,Azoarcus sp. EbN1,"Bacteria, Proteobacteria, Betaproteobacteria, Rhodocyclales, Rhodocyclaceae, Azoarcus","(1677877.0, 1678330.0)",,,
NC_006526,Zymomonas mobilis subsp. mobilis ZM4,"Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, Zymomonas","(2055615.0, 146.0)",,,
NC_006576,Synechococcus elongatus PCC 6301,"Bacteria, Cyanobacteria, Chroococcales, Synechococcus","(1620819.0, 1620990.0)",,,
NC_006831,Ehrlichia ruminantium str. Gardel,"Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Anaplasmataceae, Ehrlichia","(4149.0, 4564.0)",,,
NC_006832,Ehrlichia ruminantium str. Welgevonden,"Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Anaplasmataceae, Ehrlichia","(4150.0, 4565.0)",,,
NC_006833,Wolbachia endosymbiont strain TRS of Brugia malayi,"Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Rickettsiaceae, Wolbachieae, Wolbachia","(1079740.0, 110.0)",,,
NC_006841,Vibrio fischeri ES114 chromosome 1I,"Bacteria, Proteobacteria, Gammaproteobacteria, Vibrionales, Vibrionaceae, Vibrio","(1332015.0, 1052.0)",,,
NC_006932,Brucella abortus biovar 1 str. 9-941 chromosome 1,"Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Brucellaceae, Brucella","(2010519.0, 2010970.0)",,,
NC_007109,Rickettsia felis URRWXCal2,"Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Rickettsiaceae, Rickettsieae, Rickettsia, spotted fever group","(1484753.0, 1485148.0)",,,
NC_007146,Haemophilus influenzae 86-028NP,"Bacteria, Proteobacteria, Gammaproteobacteria, Pasteurellales, Pasteurellaceae, Haemophilus","(702682.0, 703188.0)",,,
